feature,psi,ks_statistic,ks_p_value,reference_missing_rate,current_missing_rate,missing_rate_delta,verdict
id_23,13.682634,,,0.991,0.989617,-0.001383,significant
id_27,13.68254,,,0.991,0.989617,-0.001383,significant
id_31,13.207029,,,0.75355,0.73205,-0.0215,significant
D9_anchored,12.446633,1.0,0.0,0.871317,0.85565,-0.015667,significant
id_30,12.260991,,,0.859383,0.859567,0.000183,significant
id_34,12.10751,,,0.859283,0.85645,-0.002833,significant
id_33,11.921635,,,0.868533,0.859533,-0.009,significant
os_family,11.742772,,,0.859383,0.859567,0.000183,significant
DeviceInfo,11.045895,,,0.791233,0.77515,-0.016083,significant
device_vendor,10.879225,,,0.791233,0.77515,-0.016083,significant
browser_family,10.798844,,,0.75355,0.73205,-0.0215,significant
id_16,10.481892,,,0.772917,0.753667,-0.01925,significant
R_emaildomain,10.315725,,,0.761117,0.735317,-0.0258,significant
r_email_suffix,10.315507,,,0.76135,0.73555,-0.0258,significant
r_email_provider,10.315218,,,0.761117,0.735317,-0.0258,significant
id_38,10.235449,,,0.752883,0.731517,-0.021367,significant
DeviceType,10.19923,,,0.753233,0.73155,-0.021683,significant
id_36,10.194009,,,0.752883,0.731517,-0.021367,significant
id_35,10.191742,,,0.752883,0.731517,-0.021367,significant
id_15,10.190825,,,0.752883,0.731517,-0.021367,significant
id_37,10.190548,,,0.752883,0.731517,-0.021367,significant
id_29,10.190422,,,0.752883,0.7317,-0.021183,significant
id_28,10.190413,,,0.752883,0.7317,-0.021183,significant
id_12,10.111359,,,0.747383,0.722633,-0.02475,significant
M9,8.558465,,,0.631733,0.46125,-0.170483,significant
M7,8.556524,,,0.63175,0.461267,-0.170483,significant
M8,8.556507,,,0.631733,0.46125,-0.170483,significant
M5,8.011671,,,0.602,0.608417,0.006417,significant
M2,6.693193,,,0.502017,0.346167,-0.15585,significant
M3,6.691865,,,0.502017,0.346167,-0.15585,significant
M1,6.690034,,,0.502017,0.346167,-0.15585,significant
M4,6.360902,,,0.485483,0.470367,-0.015117,significant
D13_anchored,5.498704,0.964744,0.0,0.898467,0.758433,-0.140033,significant
D3_anchored,4.757932,0.947629,0.0,0.458983,0.400367,-0.058617,significant
D5_anchored,4.165478,0.908408,0.0,0.532833,0.44275,-0.090083,significant
D14_anchored,4.035657,0.886267,0.0,0.896067,0.7743,-0.121767,significant
D7_anchored,3.822841,0.879649,0.0,0.937117,0.883417,-0.0537,significant
M6,3.749277,,,0.297367,0.311183,0.013817,significant
D12_anchored,3.740929,0.846713,0.0,0.890433,0.86715,-0.023283,significant
D6_anchored,3.556954,0.844938,0.0,0.8777,0.757517,-0.120183,significant
D1_anchored,2.608874,0.754652,0.0,0.002133,0.011833,0.0097,significant
D8_anchored,2.344672,0.72021,0.0,0.871317,0.85565,-0.015667,significant
browser_version_major,2.094271,0.54692,0.0,0.802867,0.734433,-0.068433,significant
D10_anchored,2.059857,0.676248,0.0,0.140667,0.02475,-0.115917,significant
D4_anchored,1.939954,0.654697,0.0,0.29555,0.1522,-0.14335,significant
p_email_suffix,1.880472,,,0.1569,0.138467,-0.018433,significant
P_emaildomain,1.871913,,,0.1559,0.137333,-0.018567,significant
p_email_provider,1.871406,,,0.1559,0.137333,-0.018567,significant
D2_anchored,1.827627,0.587324,0.0,0.48595,0.46405,-0.0219,significant
id_13,1.771792,0.498206,0.0,0.7796,0.745533,-0.034067,significant
